Date,Location,Variety,Price,Year,Month,Quarter,Day_of_year,Season,Is_Yala,Is_Maha,Price_lag1,Price_lag2,Price_lag3,Price_lag6,Price_lag12,Rolling_Mean_3,Rolling_Mean_6,Rolling_Mean_12,Rolling_Std_3,Rolling_Std_6,Price_vs_3MA,Price_vs_6MA,Price_Change_1m,Price_Change_3m,YoY_Price,YoY_Change,YoY_Change_Pct
2008-04-15,Dambulla,BITTER GOURD,52.2,2008,4,2,106,Maha,0,1,40.95,40.15,48.33,41.53,20.6,44.43333333333334,48.65166666666667,43.737500000000004,6.738014049653933,6.909417968734175,7.766666666666666,3.548333333333332,0.27472527472527464,0.08007448789571714,20.6,31.6,153.39805825242718
2008-05-15,Dambulla,BITTER GOURD,62.05,2008,5,2,136,Maha,0,1,52.2,40.95,40.15,57.4,32.5,51.73333333333333,49.42666666666667,46.199999999999996,10.557738078458565,8.222877030982932,10.31666666666667,12.623333333333328,0.18869731800766276,0.5454545454545454,32.5,29.549999999999997,90.92307692307692
2008-06-15,Dambulla,BITTER GOURD,59.15,2008,6,2,167,Intermediate1,0,0,62.05,52.2,40.95,52.88,40.53,57.800000000000004,50.471666666666664,47.751666666666665,5.0618672444070265,9.101033824059039,1.3499999999999943,8.678333333333335,-0.04673650282030617,0.4444444444444444,40.53,18.619999999999997,45.94127806563039
2008-07-15,Dambulla,BITTER GOURD,46.07,2008,7,3,197,Intermediate1,0,0,59.15,62.05,52.2,48.33,44.25,55.75666666666666,50.095,47.903333333333336,8.513291568678595,9.252899545547873,-9.68666666666666,-4.024999999999999,-0.22113271344040575,-0.11743295019157096,44.25,1.8200000000000003,4.112994350282487
2008-08-15,Dambulla,BITTER GOURD,35.6,2008,8,3,228,Intermediate1,0,0,46.07,59.15,62.05,40.15,37.25,46.94,49.336666666666666,47.76583333333334,11.799080472647029,10.352123775663943,-11.339999999999996,-13.736666666666665,-0.22726286086390268,-0.42626913779210307,37.25,-1.6499999999999986,-4.429530201342278
2008-09-15,Dambulla,BITTER GOURD,33.64,2008,9,3,259,Intermediate2,0,0,35.6,46.07,59.15,40.95,36.88,38.43666666666667,48.11833333333333,47.49583333333334,6.682906054504551,11.857280323356898,-4.796666666666667,-14.478333333333332,-0.05505617977528088,-0.43127641589180044,36.88,-3.240000000000002,-8.785249457700656
2008-10-15,Dambulla,BITTER GOURD,36.13,2008,10,4,289,Intermediate2,0,0,33.64,35.6,46.07,52.2,41.53,35.123333333333335,45.44,47.04583333333334,1.311652901240844,12.545874222229394,1.0066666666666677,-9.309999999999995,0.07401902497027346,-0.21575862817451696,41.53,-5.399999999999999,-13.00264868769564
2008-11-15,Dambulla,BITTER GOURD,57.47,2008,11,4,320,Intermediate2,0,0,36.13,33.64,35.6,62.05,57.4,42.413333333333334,44.67666666666667,47.05166666666667,13.098756938478308,11.422149826834993,15.056666666666665,12.79333333333333,0.5906448934403541,0.6143258426966292,57.4,0.07000000000000028,0.12195121951219562
2008-12-15,Dambulla,BITTER GOURD,55.05,2008,12,4,350,Yala,1,0,57.47,36.13,33.64,59.15,52.88,49.54999999999999,43.99333333333334,47.232499999999995,11.68487911790278,10.46570144169356,5.500000000000007,11.056666666666658,-0.04210892639638075,0.6364447086801426,52.88,2.1699999999999946,4.103630862329792
2009-01-15,Dambulla,BITTER GOURD,56.47,2009,1,1,15,Yala,1,0,55.05,57.47,36.13,46.07,48.33,56.330000000000005,45.72666666666667,47.91083333333333,1.216059209085103,11.67032590233309,0.13999999999999346,10.743333333333332,0.02579473206176197,0.5629670633822308,48.33,8.14,16.842540864887233
2009-02-15,Dambulla,BITTER GOURD,54.12,2009,2,1,46,Yala,1,0,56.47,55.05,57.47,35.6,40.15,55.21333333333333,48.81333333333333,49.074999999999996,1.1834835585397876,10.878567307631402,-1.0933333333333337,5.306666666666665,-0.04161501682309199,-0.05829128240821302,40.15,13.969999999999999,34.794520547945204
2009-03-15,Dambulla,BITTER GOURD,38.65,2009,3,1,74,Maha,0,1,54.12,56.47,55.05,33.64,40.95,49.74666666666666,49.64833333333333,48.883333333333326,9.681561513172028,9.597875633006856,-11.096666666666664,-10.998333333333335,-0.28584626755358467,-0.2979109900090826,40.95,-2.3000000000000043,-5.616605616605627
2009-04-15,Dambulla,BITTER GOURD,33.7,2009,4,2,105,Maha,0,1,38.65,54.12,56.47,36.13,52.2,42.15666666666666,49.24333333333334,47.34166666666667,10.652071785964155,10.307433563533976,-8.456666666666656,-15.543333333333337,-0.12807244501940485,-0.40322295023906496,52.2,-18.5,-35.440613026819925
2009-05-15,Dambulla,BITTER GOURD,46.28,2009,5,2,135,Maha,0,1,33.7,38.65,54.12,57.47,62.05,39.54333333333333,47.37833333333333,46.0275,6.337399571853867,9.502103802141223,6.736666666666672,-1.0983333333333292,0.37329376854599405,-0.14486326681448625,62.05,-15.769999999999996,-25.4149879129734
2009-06-15,Dambulla,BITTER GOURD,60.28,2009,6,2,166,Intermediate1,0,0,46.28,33.7,38.65,55.05,59.15,46.75333333333333,48.25,46.12166666666667,13.296320292973304,10.530808136130867,13.52666666666667,12.030000000000001,0.30250648228176313,0.5596377749029755,59.15,1.1300000000000026,1.910397295012684
2009-07-15,Dambulla,BITTER GOURD,46.95,2009,7,3,196,Intermediate1,0,0,60.28,46.28,33.7,56.47,46.07,51.169999999999995,46.663333333333334,46.195,7.896600534407222,9.731455526624304,-4.219999999999992,0.28666666666666885,-0.221134704711347,0.3931750741839761,46.07,0.8800000000000026,1.9101367484263134
2009-08-15,Dambulla,BITTER GOURD,38.2,2009,8,3,227,Intermediate1,0,0,46.95,60.28,46.28,54.12,35.6,48.47666666666667,44.01,46.41166666666666,11.118886335120695,9.458236622119369,-10.276666666666664,-5.809999999999995,-0.1863684771033014,-0.17458945548833182,35.6,2.6000000000000014,7.303370786516858
2009-09-15,Dambulla,BITTER GOURD,36.0,2009,9,3,258,Intermediate2,0,0,38.2,46.95,60.28,38.65,33.64,40.38333333333333,43.568333333333335,46.60833333333333,5.792308117955549,9.813778918778771,-4.383333333333333,-7.568333333333335,-0.05759162303664933,-0.40278699402787,33.64,2.3599999999999994,7.015457788347204
2009-10-15,Dambulla,BITTER GOURD,55.87,2009,10,4,288,Intermediate2,0,0,36.0,38.2,46.95,33.7,36.13,43.35666666666666,47.26333333333334,48.25333333333333,10.892549441399554,9.524496137154276,12.513333333333335,8.606666666666655,0.5519444444444443,0.1899893503727368,36.13,19.739999999999995,54.63603653473565
2009-11-15,Dambulla,BITTER GOURD,67.04,2009,11,4,319,Intermediate2,0,0,55.87,36.0,38.2,46.28,57.47,52.97,50.723333333333336,49.05083333333332,15.721892379735996,12.424975922176545,14.070000000000007,16.31666666666667,0.19992840522641875,0.7549738219895288,57.47,9.570000000000007,16.652166347659662
2009-12-15,Dambulla,BITTER GOURD,70.75,2009,12,4,349,Yala,1,0,67.04,55.87,36.0,60.28,55.05,64.55333333333333,52.468333333333334,50.35916666666666,7.7454007858428096,14.58332940952329,6.1966666666666725,18.281666666666666,0.05534009546539376,0.9652777777777777,55.05,15.700000000000003,28.519527702089015
