Vegetable_Name,Week_Start,ISO_Year,ISO_Week,Is_Train,Time_Index
Bitter Gourd,2018-07-30,2018,31,True,448
Bitter Gourd,2018-08-06,2018,32,True,449
Bitter Gourd,2018-08-13,2018,33,True,450
Bitter Gourd,2018-08-20,2018,34,True,451
Bitter Gourd,2018-08-27,2018,35,True,452
Bitter Gourd,2018-09-03,2018,36,True,453
Bitter Gourd,2018-09-10,2018,37,True,454
Bitter Gourd,2018-09-17,2018,38,True,455
Bitter Gourd,2018-09-24,2018,39,True,456
Bitter Gourd,2018-10-01,2018,40,True,457
Bitter Gourd,2018-10-08,2018,41,True,458
Bitter Gourd,2018-10-15,2018,42,True,459
Bitter Gourd,2018-10-22,2018,43,True,460
Bitter Gourd,2018-10-29,2018,44,True,461
Bitter Gourd,2018-11-05,2018,45,True,462
Bitter Gourd,2018-11-12,2018,46,True,463
Bitter Gourd,2018-11-19,2018,47,True,464
Bitter Gourd,2018-11-26,2018,48,True,465
Bitter Gourd,2018-12-03,2018,49,True,466
Bitter Gourd,2018-12-10,2018,50,True,467
Bitter Gourd,2018-12-17,2018,51,True,468
Bitter Gourd,2018-12-24,2018,52,True,469
Bitter Gourd,2018-12-31,2019,1,True,470
Bitter Gourd,2019-01-07,2019,2,True,471
Bitter Gourd,2019-01-14,2019,3,True,472
Bitter Gourd,2019-01-21,2019,4,True,473
Bitter Gourd,2019-01-28,2019,5,True,474
Bitter Gourd,2019-02-04,2019,6,True,475
Bitter Gourd,2019-02-11,2019,7,True,476
Bitter Gourd,2019-02-18,2019,8,True,477
Bitter Gourd,2019-02-25,2019,9,True,478
Bitter Gourd,2019-03-04,2019,10,True,479
Bitter Gourd,2019-03-11,2019,11,True,480
Bitter Gourd,2019-03-18,2019,12,True,481
Bitter Gourd,2019-03-25,2019,13,True,482
Bitter Gourd,2019-04-01,2019,14,True,483
Bitter Gourd,2019-04-08,2019,15,True,484
Bitter Gourd,2019-04-15,2019,16,True,485
Bitter Gourd,2019-04-22,2019,17,True,486
Bitter Gourd,2019-04-29,2019,18,True,487
Bitter Gourd,2019-05-06,2019,19,True,488
Bitter Gourd,2019-05-13,2019,20,True,489
Bitter Gourd,2019-05-20,2019,21,True,490
Bitter Gourd,2019-05-27,2019,22,True,491
Bitter Gourd,2019-06-03,2019,23,True,492
Bitter Gourd,2019-06-10,2019,24,True,493
Bitter Gourd,2019-06-17,2019,25,True,494
Bitter Gourd,2019-06-24,2019,26,True,495
Bitter Gourd,2019-07-01,2019,27,True,496
Bitter Gourd,2019-07-08,2019,28,True,497
Bitter Gourd,2019-07-15,2019,29,True,498
Bitter Gourd,2019-07-22,2019,30,True,499
Bitter Gourd,2019-07-29,2019,31,True,500
Bitter Gourd,2019-08-05,2019,32,True,501
Bitter Gourd,2019-08-12,2019,33,True,502
Bitter Gourd,2019-08-19,2019,34,True,503
Bitter Gourd,2019-08-26,2019,35,True,504
Bitter Gourd,2019-09-02,2019,36,True,505
Bitter Gourd,2019-09-09,2019,37,True,506
Bitter Gourd,2019-09-16,2019,38,True,507
Bitter Gourd,2019-09-23,2019,39,True,508
Bitter Gourd,2019-09-30,2019,40,True,509
Bitter Gourd,2019-10-07,2019,41,True,510
Bitter Gourd,2019-10-14,2019,42,True,511
Bitter Gourd,2019-10-21,2019,43,True,512
Bitter Gourd,2019-10-28,2019,44,True,513
Bitter Gourd,2019-11-04,2019,45,True,514
Bitter Gourd,2019-11-11,2019,46,True,515
Bitter Gourd,2019-11-18,2019,47,True,516
Bitter Gourd,2019-11-25,2019,48,True,517
Bitter Gourd,2019-12-02,2019,49,True,518
Bitter Gourd,2019-12-09,2019,50,True,519
Bitter Gourd,2019-12-16,2019,51,True,520
Bitter Gourd,2019-12-23,2019,52,True,521
Bitter Gourd,2019-12-30,2020,1,True,522
Bitter Gourd,2020-01-06,2020,2,True,523
Bitter Gourd,2020-01-13,2020,3,True,524
Bitter Gourd,2020-01-20,2020,4,True,525
Bitter Gourd,2020-01-27,2020,5,True,526
Bitter Gourd,2020-02-03,2020,6,True,527
Bitter Gourd,2020-02-10,2020,7,True,528
Bitter Gourd,2020-02-17,2020,8,True,529
Bitter Gourd,2020-02-24,2020,9,True,530
Bitter Gourd,2020-03-02,2020,10,True,531
Bitter Gourd,2020-03-09,2020,11,True,532
Bitter Gourd,2020-03-16,2020,12,True,533
Bitter Gourd,2020-03-23,2020,13,True,534
Bitter Gourd,2020-03-30,2020,14,True,535
Bitter Gourd,2020-04-06,2020,15,True,536
Bitter Gourd,2020-04-13,2020,16,True,537
Bitter Gourd,2020-04-20,2020,17,True,538
Bitter Gourd,2020-04-27,2020,18,True,539
Bitter Gourd,2020-05-04,2020,19,True,540
Bitter Gourd,2020-05-11,2020,20,True,541
Bitter Gourd,2020-05-18,2020,21,True,542
Bitter Gourd,2020-05-25,2020,22,True,543
Bitter Gourd,2020-06-01,2020,23,True,544
Bitter Gourd,2020-06-08,2020,24,True,545
Bitter Gourd,2020-06-15,2020,25,True,546
Bitter Gourd,2020-06-22,2020,26,True,547
Bitter Gourd,2020-06-29,2020,27,True,548
Bitter Gourd,2020-07-06,2020,28,True,549
Bitter Gourd,2020-07-13,2020,29,True,550
